Australia,"2,200,000",8.4,4.2,74.5,1.3,0.2,9.50,,0.0914382058,0.2014652015,0.3278688525,0.2576505429,0.2195121951,0.1408450704,,Australia,20.2,,Rate sensitivity + high household debt dampen property appetite; Dubai can appeal as a diversification + yield alternative.
Italy,"1,338,142",10.2,4.2,79.4,1.3,0.8,2.70,,0.0551858331,0.2673992674,0.3278688525,0.2818361303,0.2195121951,0.2253521127,,Italy,21.4,,Moderate wealth base; outbound investment tends to be selective—Dubai competes mainly on yield + lifestyle utility.
Netherlands,"1,231,625",7.7,5,57.5,1.7,-0.5,8.70,,0.0507054036,0.1758241758,0.4590163934,0.1737413623,0.3170731707,0.0422535211,,Netherlands,21.6,,Regulation/tax pressures in housing increase interest in offshore real estate; Dubai offers simpler investor economics.
Switzerland,"1,100,000",10.4,2.6,66.1,1.5,1.8,15.70,,0.0451688552,0.2747252747,0.0655737705,0.2161895360,0.2682926829,0.3661971831,,Switzerland,17.8,,Very affluent but conservative; Dubai demand is usually UHNW-led (trophy homes/branded residences).
India,"1,200,000",20,3,119.3,0.8,6.3,0.10,,0.0493751598,0.6263736264,0.1311475410,0.4787759131,0.0975609756,1.0000000000,,India,30.0,Prime,Expanding HNWI/UHNW base; Dubai continues to attract second-home and investment demand (remittance/compliance considerations remain).
Sweden,"575,426",7.7,3.7,59.6,1.7,0.6,6.80,,0.0231036749,0.1758241758,0.2459016393,0.1841066140,0.3170731707,0.1971830986,,Sweden,18.3,,Highly rate-sensitive housing market; Dubai competes as a diversification hedge rather than a mass-market play.
Russia,"381,726",16,4.3,209,0.5,3.9,0.30,,0.0149560628,0.4798534799,0.3442622951,0.9215202369,0.0243902439,0.6619718310,,Russia,30.8,Prime,Capital seeks stability + mobility options; Dubai remains a key offshore destination (policy/sanctions risk management is central).
Saudi Arabia,"351,855",3.1,6.9,23.7,4.2,-0.8,1.50,,0.0136995976,0.0073260073,0.7704918033,0.0069101678,0.9268292683,0.0000000000,,Saudi Arabia,34.5,x,"High investable wealth; some capital stays domestic (Vision 2030 opportunities), but Dubai remains the “second-home + diversification” destination."
Singapore,"333,204",18.7,3,130.7,0.8,2,7.90,,0.0129150797,0.5787545788,0.1311475410,0.5350444225,0.0975609756,0.3943661972,,Singapore,22.9,,Affluent market but domestic property is expensive/regulation-heavy; Dubai can look more attractive on net yields.
New Zealand,"300,000",8.8,3.9,80.7,1.2,0.2,,,0.0115184183,0.2161172161,0.2786885246,0.2882527147,0.1951219512,0.1408450704,,New Zealand,17.3,,Smaller investor base and distance reduce scale; Dubai is mostly a niche diversification play.
Norway,"253,085",7.8,4,58.1,1.7,1.5,5.90,,0.0095450305,0.1794871795,0.2950819672,0.1767028628,0.3170731707,0.3239436620,,Norway,20.2,,High wealth but cautious investor behavior; Dubai tends to attract those seeking lifestyle diversification and stronger rental returns.
Indonesia,"178,605",17.3,5.2,188.9,0.5,5.2,0.10,,0.0064121749,0.5274725275,0.4918032787,0.8223099704,0.0243902439,0.8450704225,,Indonesia,35.1,Prime,Fast-growing affluent class; Dubai appeals as a prestige asset + diversification play (with currency hedging a common motivator).
Luxembourg,"85,786",8.9,3.3,56.3,1.8,0.6,,,0.0025079250,0.2197802198,0.1803278689,0.1678183613,0.3414634146,0.1971830986,,Luxembourg,17.4,,"Wealthy but small population base; Dubai demand likely niche (portfolio diversification, not volume-driven)."
Kazak,"44,307",10.6,8.3,184,0.5,5.1,0.30,,0.0007631919,0.2820512821,1.0000000000,0.7981243830,0.0243902439,0.8309859155,,Kazakhstan,41.0,Prime,Strong regional wealth momentum; proximity + flight connectivity + residency ease make Dubai a natural offshore choice.
Qatar,"26,163",4.4,5.2,40.2,2.5,2,1.20,,0.0000000000,0.0549450549,0.4918032787,0.0883514314,0.5121951220,0.3943661972,,Qatar,25.7,Secondary,High GDP per capita; Dubai used as a portfolio diversifier (short-stay rental use-case is common).
Oman,,2.9,7,22.3,4.5,1.4,,,-0.0011004955,0.0000000000,0.7868852459,0.0000000000,1.0000000000,0.3098591549,,Oman,38.8,Prime,Deepening UAE–Oman economic integration and cross-border mobility support steady Dubai property appetite.
Jordan,,7.4,5.9,71.8,1.4,2,,,-0.0011004955,0.1648351648,0.6065573770,0.2443237907,0.2439024390,0.3943661972,,Jordan,25.8,Secondary,"Proximity and established diaspora links keep Dubai investment interest consistent, especially for mid-ticket units."
Ireland,,7.2,7.4,54.5,1.8,1.2,,,-0.0011004955,0.1575091575,0.8524590164,0.1589338598,0.3414634146,0.2816901408,,Ireland,30.6,Prime,High-income market but constrained supply and elevated costs push outward diversification; Dubai offers clearer yield math.
Kuwait,,7.5,3.5,60.4,1.7,3.2,,,-0.0011004955,0.1684981685,0.2131147541,0.1880552813,0.3170731707,0.5633802817,,Kuwait,20.6,,Wealthy market with strong regional ties; Dubai remains a familiar “second-home + rental asset” option.
Denmark,,6.6,4.3,47.8,2.1,1.8,,,-0.0011004955,0.1355311355,0.3442622951,0.1258637710,0.4146341463,0.3661971831,,Denmark,22.1,,Stable wealth base but lower domestic yields push investors to higher-return markets; Dubai fits as a yield play.
South Africa,,3.3,7.4,41.6,2.4,0.4,,,-0.0011004955,0.0146520147,0.8524590164,0.0952615992,0.4878048780,0.1690140845,,South Africa,29.6,Secondary,FX uncertainty + wealth preservation drives outward flows; Dubai fits the “hard-asset + lifestyle” mix.
,,,,,,,,,,,,,,,,,,,
,USD Millionaire Population,Price to Income Ratio,Gross Rental Yield ,Mortgage as a percentage of income,Affordability Index (lower cost of borrowing),Economic Growth Rate,% millionaires,,,,,,,,,,,,
Weighting,25%,15%,20%,10%,20%,10%,0%,,,,,,,,,,,,
Rationale,"Population of Millionaires+
",This will be a key driver for residents to invest in property. Price to Income Ratio is the basic measure for apartment purchase affordability (lower is better). UAE has very good ratio making it a favourable option ,Rental yield is a dipstick  indictor of return on investment. The highter rental yield the better the investment return. Clearly - the UAE has the highest rental yield compared to all markets.  ,"Mortgage as Percentage of Income is a ratio of the actual monthly cost of the mortgage to take-home family income (lower is better). The lower the ratio the more feasible it is. Clearly you can see that the UAE is the best option here given the lower mortgage rates, and higher income levels compared to other markets. ","The lower cost of borrowing, provides a higher incentive to invest. UAE has one of the lowest cost of borrowing, making it a more attractive investment destination. ","GDP is important, but not the most important factor. The lower the GDP growth, the more budget we need to allocate to that market. The lower economic growth will indicate that investors are looking for more booming markets to invest in and will be more likely to invest outside of this country. ","HNWI are looking to invest and are migrating outside of source countries, with the UAE being the key market they are moving to. The higher the % of HNWI, the more budget we need to allocate to that market. ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
